[ 0, 0, 38, 62, 81, 52, 8, 0 ]
[ 0, 0, 5, 38, 59, 24, 3, 0 ]
[ 0, 0, 0, 0, 0, 1, 0, 0 ]
[ 0, 0, 0, 0, 0, 0, 0, 0 ]
[ 0, 0, 0, 0, 0, 0, 0, 0 ]
[ 0, 20, 0, 18, 48, 31, 17, 0 ]
[ 127, 188, 163, 153, 132, 112, 97, 41 ]
[ 88, 119, 81, 95, 94, 90, 74, 11 ]
[ 0, 31, 0, 0, 0, 7, 0, 9 ]
[ 0, 85, 33, 32, 50, 89, 6, 14 ]
[ 0, 158, 131, 40, 43, 27, 0, 1 ]
[ 0, 80, 74, 89, 114, 63, 9, 7 ]
[ 0, 195, 133, 46, 48, 125, 72, 7 ]
[ 0, 73, 99, 66, 83, 163, 95, 39 ]
[ 0, 0, 0, 0, 0, 0, 37, 15 ]
[ 0, 2, 13, 9, 6, 22, 36, 1 ]
[ 0, 0, 0, 0, 0, 0, 0, 0 ]
[ 0, 15, 0, 0, 0, 0, 11, 0 ]
[ 0, 0, 0, 0, 0, 0, 0, 0 ]
[ 0, 0, 0, 0, 0, 0, 0, 0 ]
[ 0, 42, 19, 0, 0, 0, 3, 24 ]
[ 0, 0, 0, 0, 0, 0, 0, 3 ]
[ 0, 0, 0, 0, 0, 0, 0, 25 ]
[ 0, 0, 0, 0, 1, 0, 0, 59 ]
[ 0, 0, 0, 0, 0, 0, 0, 0 ]
[ 0, 0, 0, 0, 0, 0, 0, 0 ]
[ 0, 0, 0, 0, 0, 0, 0, 0 ]
[ 0, 0, 0, 0, 0, 0, 0, 0 ]
[ 0, 0, 0, 0, 0, 0, 0, 0 ]
[ 0, 0, 0, 0, 0, 0, 0, 0 ]
[ 0, 0, 0, 0, 0, 0, 0, 0 ]
[ 0, 0, 0, 0, 0, 0, 0, 0 ]
[ 55, 25, 1, 0, 0, 0, 11, 26 ]
[ 84, 0, 0, 0, 0, 0, 16, 95 ]
[ 94, 0, 2, 11, 0, 0, 2, 84 ]
[ 127, 0, 0, 0, 0, 0, 10, 77 ]
[ 85, 0, 0, 0, 0, 0, 0, 27 ]
[ 2, 0, 0, 0, 0, 0, 0, 0 ]
[ 76, 24, 9, 1, 0, 0, 0, 0 ]
[ 57, 25, 28, 21, 3, 0, 0, 0 ]
[ 0, 51, 101, 42, 34, 11, 9, 0 ]
[ 0, 76, 143, 150, 156, 117, 48, 7 ]
